condition,snr_db,model,accuracy,macro_f1,total_beats,N_f1,N_recall,S_f1,S_recall,V_f1,V_recall,F_f1,F_recall,Q_f1,Q_recall
ma,12.0,fusion,0.9539341225738907,0.5147089726347744,49668,0.9751453898707018,0.9764575512234837,0.692491377023083,0.7107843137254902,0.9059080962800876,0.9002795899347623,0.0,0.0,0.0,0.0
ma,12.0,ph_only,0.9072038334541355,0.3002888774522201,49668,0.9517880505887484,0.9871319372201366,0.001010611419909045,0.0005446623093681918,0.5442597603401624,0.43740292016154086,0.0043859649122807015,0.002577319587628866,0.0,0.0
ma,6.0,raw_only,0.9494644439075461,0.5167750353790732,49668,0.9726804298068574,0.9754850965670089,0.7319727891156461,0.7325708061002179,0.8768827766863129,0.8319353836595216,0.0023391812865497076,0.002577319587628866,0.0,0.0
ma,6.0,fusion,0.9500080534750744,0.49779737766233045,49668,0.9732505453935224,0.9836944230856213,0.6627218934911242,0.6100217864923747,0.8530144494270055,0.7977632805219013,0.0,0.0,0.0,0.0
ma,6.0,ph_only,0.9002174438270114,0.2660989091713203,49668,0.9477856132355642,0.9924012845447555,0.0010330578512396695,0.0005446623093681918,0.3816758747697975,0.25753339546442994,0.0,0.0,0.0,0.0
ma,0.0,raw_only,0.937203028106628,0.47179517645114366,49668,0.9669175603365971,0.9848704147632186,0.6782500775674837,0.5953159041394336,0.7107961961588664,0.5921093507300403,0.003012048192771084,0.002577319587628866,0.0,0.0
ma,0.0,fusion,0.9304381090440526,0.42613701926561076,49668,0.9628490454116044,0.9911348319688814,0.5054704595185995,0.37745098039215685,0.6623655913978495,0.5262503883193539,0.0,0.0,0.0,0.0
ma,0.0,ph_only,0.8945196102118064,0.23084292383834257,49668,0.9445302445302445,0.9958387986792708,0.00105318588730911,0.0005446623093681918,0.2086311887741594,0.12239826032929481,0.0,0.0,0.0,0.0
ma,-6.0,raw_only,0.9115527099943626,0.35910356262389714,49668,0.9539241718539155,0.991202677642589,0.42828445158698275,0.2903050108932462,0.41330918967858754,0.2836284560422491,0.0,0.0,0.0,0.0
ma,-6.0,fusion,0.9046468551179834,0.3021252845256308,49668,0.949549257759784,0.9945271156542584,0.20776789892372485,0.12091503267973856,0.353309265944645,0.2280211245728487,0.0,0.0,0.0,0.0
